header,price_cad,sales,seller,details,description,availability,num_reviews
"Paracord bracelet, black bracelet, men and women bracelet, survival bracelet",8.35,2137.0,SimpleParadise,"['Handmade item', 'Materials: parachute cord, paracord, cord', 'Closure: Slide clasp', 'Adjustable: Yes', 'Style: Minimalist', 'Made to Order']","Made out of 100% authentic parachute cord, this bracelet is suitable for almost anyone due to the sliding knots making it very adjustable. ** Last picture is of the red option.     Shipping information :All items are sent via Canada Post in a 6X9 bubble mailer.Expected delivery once items have been marked as shipped :CANADA : 5-7 business daysUSA : 7-14 business daysEVERYWHERE ELSE : 7 or more business daysDisclaimer :No tracking number will be provided. This is to ensure you pay the lowest possible price for your item(s).Please note that delays may happen during holiday seasons.",In stock,241
Paracord bracelet,8.0,2.0,TonyDIY,"['Handmade item', 'Can be personalised: No', 'Closure: Tie', 'Adjustable: Yes']",I will start making bracelets with different strands and possibly other handmade items in Montreal.I will start making bracelets with different strands and possibly other handmade items in Montreal.,In stock,No review
"Paracord bracelet, white bracelet, men and women bracelet, survival bracelet",8.35,2137.0,SimpleParadise,"['Handmade item', 'Materials: parachute cord, paracord, cord', 'Adjustable: Yes', 'Style: Minimalist', 'Made to Order']","Made out of 100% authentic parachute cord, this bracelet is suitable for almost anyone due to the sliding knots making it very adjustable. ** Last picture is of the red option.  ******************************Shipping information : All items are sent from Ontario, Canada through Canada Post in a 6X9 bubble mailer. Expected delivery once items have been marked as shipped :CANADA : 3-5 business daysUSA : 7 or more business daysEVERYWHERE ELSE : 7 or more business daysDisclaimer : 1) NO TRACKING NUMBERS WILL BE PROVIDED (This is to ensure my customers pay the lowest possible price for shipping). Please note that some delays may happen during holiday seasons.",In stock,241
"Paracord bracelet with Predator brass shackle, valkyrie bead, viking jewelry, gift for him, mens bangle, armband, viking jewelry",59.81,1981.0,VikingJewelryPlace,"['Handmade item', 'Materials: Brass', 'Adjustable: No']","The bracelet is made of 550 type paracord (black and Comanche colours) with shackle and square bead which are handmade casted from brass.Material of bead and shackle: brassSize of bracelet: made to order (PLEASE MEASURE YOUR WRIST BY A MEASURING TAPE AND SPECIFY THIS SIZE IN THE NOTE TO ORDER).Bracelet could be made to order with paracord of other colour and beads. Square bead of valkyrie is designed by Alexander Melnik.As for jewelry from BRASS, it has lasting properties and well contacts with water. If you don't use/wear it for long, it may become dull, so you just need to polish its  surface with cloth.Please note the color of the product may slightly very due to display settings.------------------------------------------------------------All packages are nicely wrapped and could be delivered as a gift to the recipient. All packages are sent from Ukraine by the registered air mail and it usually takes from 14 to 30 days to the country of destiny. Please note, due to holidays delivery may be delayed. Feel free to contact if you need something special or you have any questions - I will gladly reply. Thank you for visiting my store.",In stock,395
Conquistador Paracord Survival Bracelet Handmade In The UK,27.16,719.0,Paracordprojectsuk,No info,"This bracelet is the ‘Conquistador Weave Design' and features a flint fire starter whistle buckle.The approximate width is 30mm.As well as being very decorative and stylish, these bracelets - when unravelled in an emergency or survival situation - will give you a large amount of high quality military grade paracord. The amount will depend on the size of your wrist, but for example: an 8 inch bracelet will provide you with approximately 15 foot of cord.A must have for all soldiers, scouts, walkers, campers, cyclists and climbers, or just a good looking stylish bracelet!All my bracelets are handmade to order in the UK and I aim to supply you as quickly as possible with a high quality bracelet.Follow the instructions below on how to measure your wrist:1) To measure your wrist size you will first need Scissors, pen, ruler and a narrow piece of paper about an 1"" wide. This can be cut off of an A4 piece of paper length ways.2) Wrap the piece of paper lightly around your wrist. Do not pull too tight that it is uncomfortable but do not leave a big gap either. Once the paper is wrapped lightly around your wrist use a pen or pencil to mark the lapping edge. Remembering not to pull too tight.3) Lay the marked piece of paper next to a tape measure or ruler and write down the measurement to the nearest 1/4 of an inch. This is the size you need to select from the “dimensions” drop down menu above. Do not add any additional length to your measurement or you will end up with a poor fitting bracelet. Also choose a colour from the colour menu.That's it all done as easy as 1,2,3...",In stock,111
"Paracord bracelets, paracord keychains, adult paracord bracelets, camping bracelets",6.0,1549.0,StuffByColleenCanada,"['Handmade item', 'Materials: Nylon', 'Can be personalised: No', 'Adjustable: No', 'Closure: Buckle']","Large selection of paracord bracelets and keychains. I can take requests on some items if you don’t see a colour you’d like. Send me a message and  I’ll help out as much as I can. Please ask any questions prior to ordering. Most bracelets are sized for 7” to 7 1/2” wrist. Some are smaller. If you are unsure if the bracelet you like will fit, please message me.",In stock,181
"Paracord nautical bracelet, black bracelet, bracelet with stainless steel, men jewelry gift idea, wanderlust bracelet, round cord bracelet",23.8,3590.0,KennlyDesign,"['Handmade item', 'Materials: Stainless steel', 'Can be personalised: No', 'Adjustable: No', 'Closure: Magnetic\n\nBracelet width: 6 Millimetres\n\nMade to Order']","Men black paracord  nautical wanderlust bracelet Of course also for women and kids.Paracord black  6 mmStainless steel magnetic claspEasy to wear and look als great with beaded bracelets together.Doubt about the size?Measure your wrist circumference around the lump on your wrist.Add 1.5 cm for a tighter fitting bracelet.Add 2 cm for a normal sitting braceletAdd 3 cm for a somewhat larger braceletIf there are any questions, please contact us and we will gladly help you further. If you sending the item as an gift, please let us know.We can enclose a gift note for you as well.Delivery time US 3 - 6 daysAustralia 5 - 10 daysCanada 5 - 6 daysIf you want to know how long the delivery time for you're country is, please mail me.For more men bracelet look at:https://www.etsy.com/nl/shop/KennlyDesign?sectionid=17295422&ref=shopsectionleftnav3",Low in stock,493
Cordbraid Viking Paracord Bracelet Of The Class - Thor Hammer Bracelet,49.1,514.0,Cordbraid,"['Handmade item', 'Materials: Bronze', 'Style: Brutalist']","HIGH VALUE- The bracelet has a very high quality.The Cordbraid bracelet is made from the best materials such as Paracord 550 III(vegan nylon), 2 mm microcord or genuine leather cord, bronze made and delivered in a jewelry bag.GIFT - The perfect gift for any occasion.HANDMADE – All my bracelets are handmade with a lot of love in Speyer, Germany.Each bracelet is therefore unique and something very special!!!!! When choosing the size, choose the size of your wrist,not the length of the bracelet! Please choose the correct wrist size.It is best to measure with a measuring tape!!!On request, the bracelet can also be ordered in other coloursArm width: approx. 2.0 cm------------------------------------------------------------------------------------------A massvier Mjölnir ThorshammerMaterial: BronzeFront/back: Viking knot patternHeight: approx. 3.5 cmWidth: approx. 2.8 cmWeight: approx. 15.9gReally very beautiful and unique------------------------------------------------------------------------------------------",Low in stock,96
"Sanctified Paracord Bracelet, Mad Max Paracord Bracelet, Adjustable Sanctified Paracord Bracelet",27.68,106.0,LadyLiJewellery,"['Handmade item', 'Materials: Nylon', 'Adjustable: Yes\n\nBracelet width: 0.86 Inches']","Sanctified Paracord bracelet. Mad max style sanctified Paracord bracelet made with 550 Paracord. Closes with an adjustable knot. The width of the bracelets is approx. 2.2 cm (0.86 in). Suitable for 19 cm to 21 cm (7.5 in to 8.3 in)  wrist sizes. Hand braided.Please choose one among these three bracelets.The price is for ONE bracelet.The colors mentioned are the colors of the MIDDLE PART of the bracelet, as shown in the pictures as they are presented:KhakiGreenish greyBeigeMeasurements:For wrists size 19 cm to 21 cm ( 7.5 in to 8.3 in).Width: approx. 2.2 cm (0.86 in).Materials:550 Paracord (nylon).Handmade.",Only 1 available,36
Paracord Bracelet,3.62,2728.0,NightWeaverCreations,"['Handmade item', 'Materials: Nylon, Wood', 'Adjustable: Yes', 'Style: Boho & hippie', 'Can be personalised: No', 'Made to Order']","Colourful, simple & cool.These vibrant Paracord bracelets will look good on any wrist.Each bracelet is handmade from 4mm, 550 Paracord, with the loop made using coloured micro Paracord.The bracelet is completed with a wooden bead that pushes through the loop securing everything in place.Perfect for the festival & surfing crowd, ideal for holiday bracelets and perfect for everyday wear. The Paracord looks great on its own, or ""stacked"" with other jewellery. They would also look really cool on your ankle!When ordering, please make your choice of colour from the drop down menuThe colour choice is in the same sequence as the LAST 2 PHOTOGRAPHS within the listing (1 to 52 from left to right) SPECIAL OFFER:within this menu there is also a choice to purchase 3 or 6 of these affordable bracelets together at a discounted price.If you decide on one of these options, please message me at the point of purchase with your colour choices.If you're in any doubt about the colour, just message me before purchasing and I’ll be happy to assist.SizingTo find your bracelet size, follow these steps:STEP 1: Measure your wrist with thin flexible tape, a strip of paper or thin length of cord, just below the wrist bone, where you would normally wear the bracelet. The tape should be FIRM around the wrist but not too tight.STEP 2: If you're using a strip of paper or cord, mark your size with a pen or pencil then use a ruler to measure the length. SELECT THIS MEASUREMENT FROM THE DROP DOWN LIST.I will then add a small amount to the length so the bracelet fits comfortably.",In stock,471
Simple Adjustable 550 Paracord Friendship Bracelet / Anklet Handmade In The UK,5.42,719.0,Paracordprojectsuk,No info,"‘Simple Adjustable 550 Paracord Friendship Bracelet / Anklet’It will fit children & adults alike. Comfortably fitting wrist / ankle sizes from around 5.5 inches (14cm) up to 9 inches (23cm)Other colours are available, just not displayed above, please ask and I'll let you know if I have it!-------------------- § --------------------All my Bracelets are ‘Handmade to Order in the UK’ by myself.I aim to supply you as quickly as possible with a high quality product.-------------------- § --------------------Thanks for checking out my page.Please take a look at my other items in my Shop - Paracord Projects.I sell various items from Paracord Bracelets to Survival Items.-------------------- § --------------------",Low in stock,111
"paracord bracelet, red bracelet, men and women bracelet, survival bracelet",8.35,2137.0,SimpleParadise,"['Handmade item', 'Materials: paracord, cord', 'Closure: Slide clasp', 'Adjustable: Yes', 'Style: Minimalist', 'Made to Order']","Rumour has it that wearing a red bracelet can represent a way to ward off misfortune brought about by the ""evil eye"".Made out of 100% authentic parachute cord, this bracelet is suitable for almost anyone due to the sliding knots making it very adjustable. ******************************Shipping information : All items are sent from Ontario, Canada through Canada Post in a 6X9 bubble mailer. Expected delivery once items have been marked as shipped :CANADA : 3-5 business daysUSA : 7 or more business daysEVERYWHERE ELSE : 7 or more business daysDisclaimer : 1) NO TRACKING NUMBERS WILL BE PROVIDED (This is to ensure my customers pay the lowest possible price for shipping). Please note that some delays may happen during holiday seasons.",In stock,241
Great Dragon - Two color Paracord bracelet with Exclusive bronze buckle,159.99,1236.0,ALEXPEDITION,"['Handmade item', 'Materials: Bronze, Nylon', 'Can be personalised: No', 'Made to Order']","Great Dragon - Two color Paracord bracelet with Exclusive bronze buckle🆕 📽 VIDEO Preview:  https://youtu.be/zlFtzMBudNQ 🎞️Terms of ordering 20-30 daysAttention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.You may also be interested in my products:▻ https://www.etsy.com/listing/797473775/fire-dragon-paracord-bracelet-with▻ https://www.etsy.com/listing/695348600/wolf-two-color-paracord-bracelet-with▻ https://www.etsy.com/listing/555944578/gray-wolf-paracord-bracelet-with▻ https://www.etsy.com/listing/664662852/paracord-bracelet-totem-with-exclusive▻ https://www.etsy.com/listing/512981410/brown-bear-paracord-bracelet-with",In stock,231
"Handmade Paracord Bracelet, color black and graphite.",39.23,313.0,TheParacordSociety,"['Handmade item\n\nBracelet width: 2.8 Centimetres\n\nMaterials: Nylon', 'Closure: D-ring', 'Adjustable: No', 'Can be personalised: Yes', 'Made to Order']","Each Bracelet is Exceptionally Handcrafted with care in our Design Studio in AthensDetails about the Bracelet°°°°°°°°°°°°°°°°°°°°°°°°°°°°• 100% Handmade by us• Real American Made Type III 550lb Paracord color black and anthrachite, stitched with graphite microcord. • 100% Nylon Construction• Fashionable metal shackle to make putting the bracelet on Easy.For measuring your wrist, wrap a measure tape around your wrist not so tight but not so loose Just touching your skin.If your wrist measures at 18 cm, choose    18 cm at sizes.",Only 1 available,78
"Rasta paracord bracelet, Rasafari cord bracelet,  men bracelet, men gift , women bracelet,  bracelet, round cord bracelet, rasta jewelry",22.1,3590.0,KennlyDesign,"['Handmade item\n\nBracelet width: 3 Millimetres\n\nMaterials: Stainless steel', 'Closure: Magnetic', 'Adjustable: No', 'Can be personalised: No', 'Made to Order']","Rastafari paracord bracelet for men, women or kids.Paracord 3 mmStainless steel magnetic claspEasy to wear and look als great with beaded bracelets together. If you sending the item as an gift, please let us know.We can enclose a gift note for you as well.Delivery time US 3 - 6 daysAustralia 5 - 10 daysCanada 5 - 6 daysIf you want to know how long the delivery time for you're country is, please mail me.For more men bracelet look at:https://www.etsy.com/nl/shop/KennlyDesign?sectionid=17295422&ref=shopsectionleftnav3",Low in stock,493
"Camouflage bracelet, army bracelet, camo bracelet, army paracord bracelet, paracord bracelet, camo, army, mens bracelet",8.35,2137.0,SimpleParadise,"['Handmade item', 'Materials: paracord, cord', 'Closure: Tie', 'Adjustable: Yes', 'Made to Order']","Made out of 100% authentic parachute cord, this bracelet is suitable for almost anyone due to the sliding knots making it very adjustable. To adjust the bracelet to fit, simply pull the knots on both side. Colour shown is a camouflage pattern.  ******************************Shipping information : All items are sent from Ontario, Canada through Canada Post in a 6X9 bubble mailer. Expected delivery once items have been marked as shipped :CANADA : 3-5 business daysUSA : 7 or more business daysEVERYWHERE ELSE : 7 or more business daysDisclaimer : 1) NO TRACKING NUMBERS WILL BE PROVIDED (This is to ensure my customers pay the lowest possible price for shipping). Please note that some delays may happen during holiday seasons.",Low in stock,241
Paracord bracelet,19.99,2728.0,NightWeaverCreations,No info,"--------- PLEASE DON'T FORGET TO CHECK THE SIZE GUIDE --------Get some colour on your wrist with these cool  Paracord bracelets.These unique bracelets are made with multi-coloured Paracord, stitched together at either end, secured with a gun metal coloured spacer bead & finished with a silver coloured, alloy, ""shrimp"" snap clasp.The Paracord is 550 USA grade, 7x internal strand cord, (NOT the cheap imported stuff)Rot proof and waterproof, Paracord is a wonderfully versitile, hard wearing material, and is perfect for making unique, vibrant bracelets, just like the ones in this listing!I stitch the paracord together and wrap it up, before adding the spacer and the silver coloured alloy clasp. The clasp itself is approximately 3cm high x 2cm across at its widest point.Hard wearing, striking and very cool, a great, affordable, unisex bracelet to add to your collection.There are over 50 amazing colour designs to choose from, Please make your selection from the drop down menu, the colour choice is in the same sequence as the LAST 2 PHOTOGRAPHS in the listing (1 to 52 from left to right)If you’re in any doubt about the colour you’ve chosen, please get in touch before purchasing and I’ll be happy to assistSizingTo find your bracelet size, follow these steps:STEP 1: Measure your wrist with thin flexible tape, a strip of paper or thin length of cord, just below the wrist bone, where you would normally wear the bracelet. The tape should be FIRM around the wrist but not too tight.STEP 2: If you're using a strip of paper or cord, mark your size with a pen or pencil then use a ruler to measure the length. That would be your WRIST SIZE.STEP 3: To find your BRACELET SIZE, just add your wrist size with the appropriate measurements below.FITTING GUIDE, ADD cm(s) TO WRIST SIZEComfort Fit.      Add 2 cmLoose Fit	    Add 2.5 + cm For example, if you have a 19.5cm wrist and require a comfort fit, you would choose a bracelet size of 21.5cm from the drop down list.PLEASE MEASURE CAREFULLY, AS ALL BRACELETS ARE CUSTOM MADE TO ORDER.",In stock,471
Caribic Island Climbing Bracelet | Carabiner Bracelet | Mens Bracelet | Womens Bracelet | Paracord Bracelet | Gift For Him 49,18.82,1223.0,RockNShore,"['Handmade item', 'Materials: rope, stainless steel, paracord', 'Adjustable: Yes', 'Can be personalised: No', 'Made to Order']","Our fully adjustable carabiner bracelets are made from genuine American 550 Paracord and include a choice of matt black or grey stainless steel carabiner.Each bracelet is presented in a RockNShore cotton bag and would make an ideal gift for any nautical lover.To adjust the bracelet to fit, simply wrap the bracelet around your wrist and then adjust the sliding knot to get the exact tightness you require. All our bracelets will fit men, women and children perfectly.Once the item is ordered and made, it is then shipped to the relevant country between 3 to 7 business days.For personalised or custom orders please don't hesitate to contact us with any questions.© Images and Text/RockNShore",In stock,111
"Paracord Survival Bracelet, Paracord Bracelet Men, Fathers Day Gift, Mens Gift, Survival Gear, Hiking Bracelet, Men Bracelet, Women Bracelet",19.99,169.0,SterlingSurvival,"['Handmade item\n\nBracelet width: 7/8 Inches\n\nMaterials: Plastic', 'Closure: Buckle', 'Adjustable: No']","**COVID-19 ANNOUNCEMENT: The current global pandemic may cause shipping delays beyond our normal and expected timelines. We suggest that you order your item(s) 4+ weeks ahead of the date you need them for. Thank you for your support!*Our Survival Bracelets are made with Fish N Fire Paracord that includes fire starting tinder and fishing line within the core. On the buckle, you'll find an emergency whistle, compass, and fire rod and striker. Useful for hunting, fishing, camping, hiking, outdoors, or just for style.Available in S, M, L and XL in 6 camo-themed colours: black, red, blue, pink, green, and tan. All of our products include a feature and instruction card! perfect for gifts!",In stock,20
The Crow Bracelet,10.0,13.0,TheParacordCrow,"['Handmade item', 'Materials: Nylon, Plastic, Polyester', 'Can be personalised: No', 'Adjustable: No', 'Closure: Buckle\n\nBracelet width: 1.5 Inches']","This classic paracord bracelet is available in black, with a 5/8"" black buckle.Don't hesitate to contact me if you need help to select your size or want a custom bracelet!SPECIAL OFFER: buy two products in my store and get a free keychain!Just leave a note in your order with your color choice (see picture). Otherwise, we'll pick one randomly.",In stock,5
"Personalized Hex Nut Couples Initial Bracelet, Adjustable Paracord Bracelet for Men, Personalized Mens Friendship Bracelet, Husband Gift",22.9,2287.0,mikadojewels,"['Handmade item', 'Materials: Polyester', 'Closure: Slide clasp', 'Adjustable: Yes', 'Style: Minimalist', 'Can be personalised: Yes']","A simple and modern hex nut bracelet can be personalized with your initials. Featuring hand stamped hex nuts on deset camo paracord. It is comfortable to wear and fastens with a super simple adjustable sliding knot. ................................HOW TO ORDER.....................................➵ Select your preferences in the drop-down menu.➵ Add your item(s) to your cart.➵ Type your initials in the NOTE TO SELLER BOX at checkout.➵ Select your shipping method.➵ Checkout. Please note: All bracelets are fully adjustable using the sliding knots so the sizing is more of a general guideline. If you would like us to make the bracelet for a specific wrist size please make a note in the additional comments box and we will be happy to do so.For additional information, please feel free to contact us.",In stock,116
Paracord Bracelet,18.0,198.0,BijouxBohemesBloom,No info,"Paracord Bracelet / adjustable / suitable for men and women.Need a piece of string? Just cut the knot of the bracelet and undo, so you get 10 to 11 feet of rope.Woven by hand with love and care!",In stock,33
